Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Sausage (Extra Topping, Large Pizza),1 amount per slice,15,,60,6,2,0,10,160,0,0,0,2
Sausage (Extra Topping, Extra Large Pizza),1 amount per slice,15,,60,6,2,0,10,160,0,0,0,2
Banana Peppers (Extra Topping, Extra Small Pizza),1 amount per slice,6,,0,0,0,0,0,90,0,0,0,0
Banana Peppers (Extra Topping, Small Pizza),1 amount per slice,5,,0,0,0,0,0,80,0,0,0,0
Banana Peppers (Extra Topping, Medium Pizza),1 amount per slice,6,,0,0,0,0,0,90,0,0,0,0
Banana Peppers (Extra Topping, Large Pizza),1 amount per slice,8,,0,0,0,0,0,120,0,0,0,0
Banana Peppers (Extra Topping, Extra Large Pizza),1 amount per slice,8,,0,0,0,0,0,120,0,0,0,0
Black Olives (Extra Topping, Extra Small Pizza),1 amount per slice,6,,10,1,0,0,0,35,0,0,0,0
Black Olives (Extra Topping, Small Pizza),1 amount per slice,6,,10,1,0,0,0,30,0,0,0,0
Black Olives (Extra Topping, Medium Pizza),1 amount per slice,6,,10,1,0,0,0,35,0,0,0,0
Black Olives (Extra Topping, Large Pizza),1 amount per slice,9,,15,1.5,0,0,0,45,0,0,0,0
Black Olives (Extra Topping, Extra Large Pizza),1 amount per slice,9,,15,1.5,0,0,0,45,0,0,0,0
Fresh Spinach (Extra Topping, Extra Small Pizza),1 amount per slice,1.8,,0,0,0,0,0,0,0,0,0,0
Fresh Spinach (Extra Topping, Small Pizza),1 amount per slice,2.5,,0,0,0,0,0,0,0,0,0,0
Fresh Spinach (Extra Topping, Medium Pizza),1 amount per slice,3.5,,0,0,0,0,0,0,0,0,0,0
Fresh Spinach (Extra Topping, Large Pizza),1 amount per slice,5,,0,0,0,0,0,0,0,0,0,0
Fresh Spinach (Extra Topping, Extra Large Pizza),1 amount per slice,5,,0,0,0,0,0,0,0,0,0,0
Green Olives (Extra Topping, Extra Small Pizza),1 amount per slice,6,,10,1,0,0,0,0,0,0,0,0
Green Olives (Extra Topping, Small Pizza),1 amount per slice,6,,5,0.5,0,0,0,0,0,0,0,0
Green Olives (Extra Topping, Medium Pizza),1 amount per slice,6,,10,1,0,0,0,0,0,0,0,0
Green Olives (Extra Topping, Large Pizza),1 amount per slice,9,,10,1,0,0,0,0,0,0,0,0
Green Olives (Extra Topping, Extra Large Pizza),1 amount per slice,9,,10,1,0,0,0,0,0,0,0,0
Green Peppers (Extra Topping, Extra Small Pizza),1 amount per slice,7,,0,0,0,0,0,0,0,0,0,0
Green Peppers (Extra Topping, Small Pizza),1 amount per slice,6,,0,0,0,0,0,0,0,0,0,0
Green Peppers (Extra Topping, Medium Pizza),1 amount per slice,7,,0,0,0,0,0,0,0,0,0,0
Green Peppers (Extra Topping, Large Pizza),1 amount per slice,9,,0,0,0,0,0,0,0,0,0,0
Green Peppers (Extra Topping, Extra Large Pizza),1 amount per slice,9,,0,0,0,0,0,0,0,0,0,0
Jalapenos (Extra Topping, Extra Small Pizza),1 amount per slice,7,,0,0,0,0,0,50,0,0,0,0
Jalapenos (Extra Topping, Small Pizza),1 amount per slice,6,,0,0,0,0,0,45,0,0,0,0
Jalapenos (Extra Topping, Medium Pizza),1 amount per slice,7,,0,0,0,0,0,50,0,0,0,0
Jalapenos (Extra Topping, Large Pizza),1 amount per slice,9,,0,0,0,0,0,65,0,0,0,0
Jalapenos (Extra Topping, Extra Large Pizza),1 amount per slice,9,,0,0,0,0,0,65,0,0,0,0
Mushrooms (Extra Topping, Extra Small Pizza),1 amount per slice,7,,0,0,0,0,0,0,0,0,0,0
Mushrooms (Extra Topping, Small Pizza),1 amount per slice,9,,0,0,0,0,0,0,0,0,0,0
Mushrooms (Extra Topping, Medium Pizza),1 amount per slice,10,,0,0,0,0,0,0,0,0,0,0
Mushrooms (Extra Topping, Large Pizza),1 amount per slice,14,,0,0,0,0,0,0,1,0,0,0
Mushrooms (Extra Topping, Extra Large Pizza),1 amount per slice,14,,0,0,0,0,0,0,1,0,0,0
Onions (Extra Topping, Extra Small Pizza),1 amount per slice,8,,0,0,0,0,0,0,1,0,0,0
Onions (Extra Topping, Small Pizza),1 amount per slice,6,,0,0,0,0,0,0,1,0,0,0
Onions (Extra Topping, Medium Pizza),1 amount per slice,7,,0,0,0,0,0,0,1,0,0,0
Onions (Extra Topping, Large Pizza),1 amount per slice,9,,0,0,0,0,0,0,1,0,0,0
Onions (Extra Topping, Extra Large Pizza),1 amount per slice,9,,0,0,0,0,0,0,1,0,0,0
Pineapples (Extra Topping, Extra Small Pizza),1 amount per slice,13,,5,0,0,0,0,0,2,0,2,0
Pineapples (Extra Topping, Small Pizza),1 amount per slice,12,,5,0,0,0,0,0,2,0,2,0
