Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#8 Club Sub (Giant, Rosemary Parmesan Bread)",2220,154.32,34.24,1.98,189.46,4590.98,124.06,8.55,14.45,87.92
"#8 Club Sub (Giant, Wheat Bread)",2180,150.84,30.8,1.98,176.8,4374.08,124.27,12.15,16.57,85.52
"#8 Club Sub (Giant, Seeded Italian Bread)",2250,153.82,32.21,1.98,176.8,4506.66,139.75,12.79,18.18,84.28
"#8 Club Sub (Giant, Gluten Free Bread)",2070,158.82,31.71,1.98,176.8,4066.66,95.75,7.79,18.18,75.28
"#8 Club Sub (Wrap, White Wrap)",1140,81.09,19.28,1.05,96.8,2459,61.66,4.25,6.36,43.39
"#8 Club Sub (Wrap, Tomato Basil Wrap)",1140,81.09,19.28,1.05,96.8,2439,61.66,4.25,6.36,43.39
"#8 Club Sub (Wrap, Wheat Wrap)",1120,81.09,19.28,1.05,96.8,2469,59.66,8.25,6.36,44.39
"#8 Club Sub (Wrap, Garlic Herb Wrap)",1140,81.09,19.28,1.05,96.8,2669,61.66,4.25,6.36,43.39
"#8 Club Sub (Wrap, Spinach Herb Wrap)",1140,81.09,19.28,1.05,96.8,2459,60.66,4.25,6.36,44.39
#8 Club Sub (Bowl),830,74.09,16.28,1.05,96.8,1719,9.66,2.25,6.36,35.39
"#9 Club Supreme (Mini, White Bread)",660,40.36,9.16,0.37,76.78,1147.88,40.58,2.82,4.41,35.14
"#9 Club Supreme (Mini, Rosemary Parmesan Bread)",680,41.79,10.03,0.37,80.96,1194.96,41.12,3.07,4.42,36.5
"#9 Club Supreme (Mini, Wheat Bread)",670,40.64,8.9,0.37,76.78,1123.38,41.19,4.26,5.12,35.71
"#9 Club Supreme (Mini, Seeded Italian Bread)",690,41.62,9.37,0.36,76.78,1167.13,46.3,4.47,5.65,35.3
"#9 Club Supreme (Regular, White Bread)",1150,76.15,16.2,0.72,129.23,2023.34,61.73,4.26,6.95,57.79
"#9 Club Supreme (Regular, Rosemary Parmesan Bread)",1180,78.31,17.53,0.72,135.56,2094.67,62.55,4.63,6.97,59.86
"#9 Club Supreme (Regular, Wheat Bread)",1170,76.57,15.81,0.72,129.23,1986.22,62.65,6.43,8.03,58.66
"#9 Club Supreme (Regular, Seeded Italian Bread)",1200,78.06,16.51,0.72,129.23,2052.51,70.39,6.75,8.83,58.04
"#9 Club Supreme (Regular, Gluten Free Bread)",1110,80.56,16.26,0.72,129.23,1832.51,48.39,4.25,8.83,53.54
"#9 Club Supreme (Giant, White Bread)",2190,148.28,30.46,1.44,218.36,3625.97,120.74,7.8,12.31,98.27
"#9 Club Supreme (Giant, Rosemary Parmesan Bread)",2250,152.6,33.12,1.44,231.02,3768.62,122.38,8.55,12.34,102.41
"#9 Club Supreme (Giant, Wheat Bread)",2220,149.12,29.68,1.44,218.36,3551.72,122.59,12.15,14.46,100.01
"#9 Club Supreme (Giant, Seeded Italian Bread)",2290,152.1,31.09,1.43,218.36,3684.3,138.07,12.79,16.07,98.77
"#9 Club Supreme (Giant, Gluten Free Bread)",2110,157.1,30.59,1.43,218.36,3244.3,94.07,7.79,16.07,89.77
"#9 Club Supreme (Wrap, White Wrap)",1180,80.56,18.76,0.72,129.23,2127.51,60.89,4.25,5.33,55.54
"#9 Club Supreme (Wrap, Tomato Basil Wrap)",1180,80.56,18.76,0.72,129.23,2107.51,60.89,4.25,5.33,55.54
"#9 Club Supreme (Wrap, Wheat Wrap)",1160,80.56,18.76,0.72,129.23,2137.51,58.89,8.25,5.33,56.54
