Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Powerade Mountain Blast Wacky Pack,45,0,0,0,0,40,12,0,12,0
Powerade Mountain Blast (Small),70,0,0,0,0,60,18,0,18,0
Powerade Mountain Blast (Medium),110,0,0,0,0,100,30,0,30,0
Powerade Mountain Blast (Large),170,0,0,0,0,150,46,0,46,0
Powerade Mountain Blast Rt 44,230,0,0,0,0,200,62,0,62,0
Sprite Wacky Pack,70,0,0,0,0,15,18,0,18,0
Sprite (Small),100,0,0,0,0,25,28,0,28,0
Sprite (Medium),170,0,0,0,0,40,46,0,46,0
Sprite (Large),260,0,0,0,0,70,70,0,70,0
Sprite Rt 44,350,0,0,0,0,85,94,0,94,0
Sprite Zero Wacky Pack,0,0,0,0,0,10,0,0,0,0
Sprite Zero (Small),5,0,0,0,0,15,0,0,0,0
Sprite Zero (Medium),5,0,0,0,0,20,0,0,0,0
Sprite Zero (Large),5,0,0,0,0,30,0,0,0,0
Sprite Zero Rt 44,10,0,0,0,0,40,0,0,0,0
Sun Drop Wacky Pack,80,0,0,0,0,25,21,0,21,0
Sun Drop (Small),130,0,0,0,0,45,33,0,33,0
Sun Drop (Medium),190,0,0,0,0,65,48,0,48,0
Sun Drop (Large),280,0,0,0,0,100,73,0,73,0
Sun Drop Rt 44,380,0,0,0,0,135,99,0,99,0
Sweet Iced Tea Wacky Pack,80,0,0,0,0,10,21,0,21,0
Sweet Iced Tea (Small),140,0,0,0,0,10,37,0,37,0
Sweet Iced Tea (Medium),170,0,0,0,0,15,45,0,45,0
Sweet Iced Tea (Large),290,0,0,0,0,30,78,0,78,0
Sweet Iced Tea Rt 44,360,0,0,0,0,35,96,0,96,0
Unsweet Iced Tea Wacky Pack,0,0,0,0,0,10,0,0,0,0
Unsweet Iced Tea (Small),0,0,0,0,0,10,0,0,0,0
Unsweet Iced Tea (Medium),0,0,0,0,0,15,0,0,0,0
Unsweet Iced Tea (Large),0,0,0,0,0,30,0,0,0,0
Unsweet Iced Tea Rt 44,0,0,0,0,0,35,0,0,0,0
Minute Maid 100% Apple Juice Box,80,0,0,0,0,15,21,0,19,0
Minute Maid Orange Juice (Small),140,0,0,0,0,25,34,0,30,2
Minute Maid Orange Juice (Medium),200,0,0,0,0,35,47,0,42,3
Cherry Limeade Wacky Pack,110,0,0,0,0,20,29,0,28,0
Cherry Limeade (Small),150,0,0,0,0,30,39,0,38,0
Cherry Limeade (Medium),250,0,0,0,0,50,66,0,65,0
Cherry Limeade (Large),370,0,0,0,0,70,99,0,97,0
Cherry Limeade Rt 44,490,0,0,0,0,100,132,0,130,0
Diet Cherry Limeade Wacky Pack,15,0,0,0,0,10,3,0,2,0
Diet Cherry Limeade (Small),15,0,0,0,0,15,3,0,2,0
Diet Cherry Limeade (Medium),20,0,0,0,0,20,3,0,2,0
Diet Cherry Limeade (Large),25,0,0,0,0,35,4,0,2,0
Diet Cherry Limeade Rt 44,30,0,0,0,0,45,4,0,2,0
Diet Lime Limeade Wacky Pack,5,0,0,0,0,10,1,0,0,0
Diet Lime Limeade (Small),5,0,0,0,0,10,1,0,0,0
Diet Lime Limeade (Medium),10,0,0,0,0,15,1,0,0,0
Diet Lime Limeade (Large),10,0,0,0,0,25,2,0,0,0
Diet Lime Limeade Rt 44,15,0,0,0,0,35,2,0,0,0
Limeade Wacky Pack,70,0,0,0,0,15,18,0,18,0
Limeade (Small),100,0,0,0,0,25,28,0,28,0
Limeade (Medium),180,0,0,0,0,40,47,0,46,0
Limeade (Large),270,0,0,0,0,65,72,0,70,0
Limeade Rt 44,360,0,0,0,0,85,97,0,95,0
Minute Maid Cranberry Limeade Wacky Pack,100,0,0,0,0,20,27,0,26,0
Minute Maid Cranberry Limeade (Small),140,0,0,0,0,20,37,0,36,0
Minute Maid Cranberry Limeade (Medium),240,0,0,0,0,45,64,0,62,0
Minute Maid Cranberry Limeade (Large),360,0,0,0,0,65,97,0,94,0
